,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
886,Alameda,April,2020,14.1%,76979,126157,15822035
887,Alpine,April,2020,22.1%,86,138,15172
888,Amador,April,2020,14.3%,1611,2781,333662
889,Butte,April,2020,14.9%,18812,31203,3812696
890,Calaveras,April,2020,13.3%,3105,5432,665686
891,Colusa,April,2020,26.3%,873,1831,207160
892,Contra Costa,April,2020,14.5%,37747,68202,8615670
893,Del Norte,April,2020,13.1%,3245,5772,663517
894,El Dorado,April,2020,15.4%,7872,12732,1629103
895,Fresno,April,2020,16.7%,102436,282270,26504518
896,Glenn,April,2020,16.2%,1756,3537,398892
897,Humboldt,April,2020,13.7%,15294,23845,3030770
898,Imperial,April,2020,28.0%,18779,40673,4693133
899,Inyo,April,2020,13.7%,1151,2082,261006
900,Kern,April,2020,18.6%,76690,164496,20088844
901,Kings,April,2020,16.8%,12173,25519,3019689
902,Lake,April,2020,15.2%,8000,13335,1575108
903,Lassen,April,2020,11.6%,1829,3277,410009
904,Los Angeles,April,2020,20.3%,752273,1294689,166459126
905,Madera,April,2020,16.6%,12622,28557,3462446
906,Marin,April,2020,11.1%,7957,12204,1607372
907,Mariposa,April,2020,17.8%,1509,2554,318770
908,Mendocino,April,2020,14.8%,7431,12720,1619524
909,Merced,April,2020,18.8%,26067,55003,6635849
910,Modoc,April,2020,14.3%,796,1484,169769
911,Mono,April,2020,22.1%,558,900,121473
912,Monterey,April,2020,20.2%,21177,43953,5537393
913,Napa,April,2020,15.9%,3926,6985,824815
914,Nevada,April,2020,14.5%,5464,8646,1125057
915,Orange,April,2020,13.8%,127910,228193,28602087
916,Placer,April,2020,13.3%,9763,15805,1964002
917,Plumas,April,2020,20.5%,1371,2342,290292
918,Riverside,April,2020,15.3%,134406,266334,33443211
919,Sacramento,April,2020,14.7%,115999,220433,27567985
920,San Benito,April,2020,19.8%,2576,5128,637922
921,San Bernardino,April,2020,13.4%,168327,342576,42660218
922,San Diego,April,2020,15.0%,173018,311379,38679059
923,San Francisco,April,2020,12.6%,53714,75243,8690017
924,San Joaquin,April,2020,18.3%,50097,101595,12270365
925,San Luis Obispo,April,2020,13.7%,11578,18378,2373906
926,San Mateo,April,2020,11.4%,14285,24595,3038249
927,Santa Barbara,April,2020,13.7%,25416,44217,5812270
928,Santa Clara,April,2020,11.7%,55250,91263,11349518
929,Santa Cruz,April,2020,17.4%,17625,27611,3683349
930,Shasta,April,2020,15.9%,15063,25642,2919056
931,Sierra,April,2020,14.2%,188,290,31289
932,Siskiyou,April,2020,15.8%,4210,7733,903604
933,Solano,April,2020,14.9%,24193,41337,5297677
934,Sonoma,April,2020,15.2%,18267,29076,3607345
935,Stanislaus,April,2020,17.0%,40220,77715,9361281
936,Sutter,April,2020,17.9%,5879,12229,1471634
937,Tehama,April,2020,14.5%,5401,10272,1151023
938,Trinity,April,2020,12.8%,1192,1962,255566
939,Tulare,April,2020,19.0%,53443,115381,14206442
940,Tuolumne,April,2020,17.2%,3412,5375,637222
941,Ventura,April,2020,14.0%,37132,68279,8656326
942,Yolo,April,2020,11.9%,13429,21373,2857424
943,Yuba,April,2020,15.8%,7463,14678,1719087
944,Statewide,May,2020,15.9%,2567240,4727883,590455817
945,Alameda,May,2020,13.5%,82572,134219,17104593
946,Alpine,May,2020,22.2%,92,148,16769
947,Amador,May,2020,15.1%,1692,2932,353127
948,Butte,May,2020,13.5%,19681,32491,3935663
949,Calaveras,May,2020,12.0%,3193,5590,700876
950,Colusa,May,2020,21.1%,919,1934,213057
951,Contra Costa,May,2020,13.6%,40758,73309,9408379
952,Del Norte,May,2020,13.0%,3320,5902,678571
953,El Dorado,May,2020,15.0%,8244,13305,1713836
954,Fresno,May,2020,15.7%,106121,286792,27594665
955,Glenn,May,2020,13.7%,1810,3634,414315
956,Humboldt,May,2020,11.8%,15865,24681,3147998
957,Imperial,May,2020,27.8%,19394,41901,4864011
958,Inyo,May,2020,12.2%,1200,2196,278556
959,Kern,May,2020,18.3%,81550,172901,21143777
960,Kings,May,2020,16.0%,12555,26337,3109427
961,Lake,May,2020,15.4%,8248,13771,1631578
962,Lassen,May,2020,10.0%,1948,3455,424185
963,Los Angeles,May,2020,20.6%,807785,1383112,180083629
964,Madera,May,2020,15.2%,13122,29751,3604083
965,Marin,May,2020,10.3%,8693,13345,1787338
966,Mariposa,May,2020,17.5%,1583,2658,326045
967,Mendocino,May,2020,13.2%,7768,13321,1695119
968,Merced,May,2020,16.5%,26782,56379,6815722
969,Modoc,May,2020,11.0%,806,1491,172328
970,Mono,May,2020,28.9%,623,1010,138908
971,Monterey,May,2020,16.8%,22307,46322,5884960
972,Napa,May,2020,14.4%,4236,7542,884437
973,Nevada,May,2020,14.2%,5769,9114,1171088
974,Orange,May,2020,14.5%,136916,242909,30977590
975,Placer,May,2020,12.4%,10232,16886,2112229
976,Plumas,May,2020,16.9%,1411,2401,297904
977,Riverside,May,2020,15.8%,142244,282116,35494701
978,Sacramento,May,2020,14.1%,119470,227892,28844804
979,San Benito,May,2020,15.5%,2727,5444,683868
980,San Bernardino,May,2020,13.9%,175820,357205,44881537
981,San Diego,May,2020,15.0%,189714,331073,41615431
982,San Francisco,May,2020,12.6%,56482,79157,9306237
983,San Joaquin,May,2020,16.6%,51981,105222,12741018
984,San Luis Obispo,May,2020,12.7%,12072,19086,2479552
985,San Mateo,May,2020,11.1%,15947,27782,3528688
986,Santa Barbara,May,2020,12.9%,26540,46093,6135385
987,Santa Clara,May,2020,11.0%,59017,96962,12194763
988,Santa Cruz,May,2020,14.4%,18401,28816,3897141
989,Shasta,May,2020,13.1%,15524,26412,3009870
990,Sierra,May,2020,12.6%,193,296,33881
991,Siskiyou,May,2020,13.5%,4356,7964,928299
992,Solano,May,2020,14.2%,26011,44165,5712557
993,Sonoma,May,2020,12.7%,19473,31184,3988850
994,Stanislaus,May,2020,16.1%,41830,80723,9770746
995,Sutter,May,2020,16.0%,6075,12540,1542539
996,Tehama,May,2020,12.6%,5573,10541,1165655
997,Trinity,May,2020,10.7%,1259,2068,269993
998,Tulare,May,2020,18.4%,54714,118467,14818656
999,Tuolumne,May,2020,16.5%,3537,5564,660734
1000,Ventura,May,2020,13.5%,39489,72388,9378163
1001,Yolo,May,2020,10.5%,13895,21870,2897725
1002,Yuba,May,2020,15.1%,7701,15114,1790261
1003,Statewide,June,2020,15.1%,2639252,4840876,601177426
1004,Alameda,June,2020,13.4%,86632,141850,17778873
1005,Alpine,June,2020,19.6%,79,128,14732
1006,Amador,June,2020,12.7%,1647,2831,336925
1007,Butte,June,2020,12.1%,19728,32357,3988976
1008,Calaveras,June,2020,11.0%,3141,5411,677126
1009,Colusa,June,2020,18.3%,944,1959,214122
1010,Contra Costa,June,2020,13.4%,43544,77365,9864093
1011,Del Norte,June,2020,12.5%,3356,5947,688694
1012,El Dorado,June,2020,12.9%,8211,13122,1667567
1013,Fresno,June,2020,14.6%,108306,290961,27698201
1014,Glenn,June,2020,12.9%,1818,3610,416892
1015,Humboldt,June,2020,11.6%,15745,24345,3125325
1016,Imperial,June,2020,27.3%,19700,42207,4995746
1017,Inyo,June,2020,10.9%,1211,2199,271386
1018,Kern,June,2020,17.5%,82052,174183,21907962
1019,Kings,June,2020,14.6%,12590,26219,3104303
1020,Lake,June,2020,14.2%,8140,13424,1621516
1021,Lassen,June,2020,9.5%,1992,3532,433644
1022,Los Angeles,June,2020,19.5%,834828,1424012,183096226
1023,Madera,June,2020,14.1%,13359,30147,3721742
1024,Marin,June,2020,10.0%,8889,13648,1854974
1025,Mariposa,June,2020,14.3%,1499,2493,306946
1026,Mendocino,June,2020,12.3%,7820,13310,1711277
1027,Merced,June,2020,15.7%,26475,55459,6813349
1028,Modoc,June,2020,10.0%,810,1496,176685
1029,Mono,June,2020,24.7%,619,993,135007
1030,Monterey,June,2020,14.4%,22979,47640,6170691
1031,Napa,June,2020,12.5%,4131,7276,859225
1032,Nevada,June,2020,13.0%,5658,8828,1136910
1033,Orange,June,2020,13.7%,141812,252147,31459737
1034,Placer,June,2020,11.2%,10270,16499,2028794
1035,Plumas,June,2020,13.9%,1419,2400,294162
1036,Riverside,June,2020,14.8%,145900,288138,36512145
1037,Sacramento,June,2020,13.6%,123598,234265,29375495
1038,San Benito,June,2020,13.8%,2825,5640,715281
1039,San Bernardino,June,2020,13.8%,179336,363347,46201097
1040,San Diego,June,2020,13.9%,198896,348149,43142061
1041,San Francisco,June,2020,12.5%,59128,82794,9551611
1042,San Joaquin,June,2020,15.9%,51499,103096,12618954
1043,San Luis Obispo,June,2020,11.5%,12002,18677,2377628
1044,San Mateo,June,2020,10.8%,16680,29048,3583958
1045,Santa Barbara,June,2020,11.6%,27170,47169,6148681
1046,Santa Clara,June,2020,10.7%,61189,100482,12532164
1047,Santa Cruz,June,2020,13.0%,18581,29047,3866996
1048,Shasta,June,2020,11.5%,15535,26215,2994985
1049,Sierra,June,2020,11.1%,190,293,33691
1050,Siskiyou,June,2020,12.6%,4408,8020,941336
1051,Solano,June,2020,13.7%,27019,45845,5829605
1052,Sonoma,June,2020,11.5%,20155,32029,4049598
1053,Stanislaus,June,2020,15.0%,41252,78669,9628129
1054,Sutter,June,2020,15.0%,6132,12524,1536956
1055,Tehama,June,2020,11.8%,5663,10664,1187846
1056,Trinity,June,2020,9.8%,1294,2105,279708
1057,Tulare,June,2020,17.2%,55602,119800,14763463
1058,Tuolumne,June,2020,14.4%,3478,5421,653445
1059,Ventura,June,2020,12.6%,40306,73872,9300518
1060,Yolo,June,2020,10.6%,14233,22427,2964476
1061,Yuba,June,2020,14.4%,7777,15142,1815793
1062,Statewide,July,2020,13.7%,2578120,4684911,572379787
1063,Alameda,July,2020,12.0%,86626,139604,17423995
1064,Alpine,July,2020,14.1%,73,118,12848
1065,Amador,July,2020,11.9%,1519,2545,302115
1066,Butte,July,2020,11.1%,18528,30236,3621067
1067,Calaveras,July,2020,9.6%,2959,5044,617409
1068,Colusa,July,2020,15.3%,913,1900,201622
1069,Contra Costa,July,2020,12.0%,43542,76147,9519098
1070,Del Norte,July,2020,11.3%,3271,5794,643885
1071,El Dorado,July,2020,10.3%,7807,12415,1543717
1072,Fresno,July,2020,13.5%,106240,279904,26245768
1073,Glenn,July,2020,108.0%,1740,3442,379696
1074,Humboldt,July,2020,10.2%,15001,23175,2936373
1075,Imperial,July,2020,26.8%,18973,40511,4655597
1076,Inyo,July,2020,9.4%,1162,2076,255982
1077,Kern,July,2020,16.5%,79880,168942,20527513
1078,Kings,July,2020,13.1%,12133,25242,2902460
1079,Lake,July,2020,11.6%,7859,12897,1516551
1080,Lassen,July,2020,8.6%,1879,3349,396472
1081,Los Angeles,July,2020,18.2%,821129,1398867,177703857
1082,Madera,July,2020,13.0%,13013,29364,3541117
1083,Marin,July,2020,8.8%,8695,13284,1778462
1084,Mariposa,July,2020,10.8%,1458,2403,285971
1085,Mendocino,July,2020,10.9%,7425,12630,1587489
1086,Merced,July,2020,14.5%,25369,53190,6350763
1087,Modoc,July,2020,8.8%,784,1435,158100
1088,Mono,July,2020,16.6%,597,956,127876
1089,Monterey,July,2020,12.1%,21657,44473,5571312
1090,Napa,July,2020,10.4%,4032,7062,821805
1091,Nevada,July,2020,10.6%,5489,8567,1091109
1092,Orange,July,2020,12.3%,138010,239857,29753371
1093,Placer,July,2020,9.8%,9831,15723,1931907
1094,Plumas,July,2020,11.4%,1378,2298,274147
1095,Riverside,July,2020,13.7%,137553,270888,33462347
1096,Sacramento,July,2020,12.5%,123140,226834,28196775
1097,San Benito,July,2020,11.9%,2735,5423,670139
1098,San Bernardino,July,2020,13.1%,170169,345004,42820860
1099,San Diego,July,2020,12.3%,199745,343297,41817464
1100,San Francisco,July,2020,10.9%,55982,78064,8905823
1101,San Joaquin,July,2020,14.8%,49680,99175,11647533
1102,San Luis Obispo,July,2020,9.9%,11212,17137,2158738
1103,San Mateo,July,2020,9.2%,16755,29209,3562205
1104,Santa Barbara,July,2020,10.0%,26811,45377,5854223
1105,Santa Clara,July,2020,9.3%,61370,99509,12326491
1106,Santa Cruz,July,2020,11.2%,17950,27544,3631255
1107,Shasta,July,2020,10.5%,15058,25244,2795404
1108,Sierra,July,2020,9.3%,178,275,29650
1109,Siskiyou,July,2020,11.2%,4268,7719,878420
1110,Solano,July,2020,12.4%,26824,44831,5626683
1111,Sonoma,July,2020,9.8%,20358,31956,3977850
1112,Stanislaus,July,2020,13.6%,39168,74331,8812374
1113,Sutter,July,2020,13.5%,5871,12008,1438933
1114,Tehama,July,2020,11.0%,5501,10305,1112604
1115,Trinity,July,2020,8.6%,1271,2009,259146
1116,Tulare,July,2020,16.2%,54253,113959,13943253
1117,Tuolumne,July,2020,12.6%,3264,5012,593153
1118,Ventura,July,2020,11.3%,38529,70264,8718954
1119,Yolo,July,2020,9.5%,13991,21451,2766577
1120,Yuba,July,2020,13.5%,7512,14636,1693481
1121,Statewide,August,2020,11.6%,2549270,4640393,558447062
1122,Alameda,August,2020,9.8%,86097,139609,17247406
1123,Alpine,August,2020,11.2%,69,113,11837
1124,Amador,August,2020,9.3%,1490,2507,289532
1125,Butte,August,2020,9.0%,17921,29244,3454582
1126,Calaveras,August,2020,7.5%,2924,4991,608928
1127,Colusa,August,2020,11.0%,929,1919,202713
1128,Contra Costa,August,2020,9.8%,43916,77681,9585920
1129,Del Norte,August,2020,9.4%,3230,5701,632021
1130,El Dorado,August,2020,8.0%,7646,12109,1482242
1131,Fresno,August,2020,10.9%,103281,272863,25251540
1132,Glenn,August,2020,8.1%,1740,3442,368664
1133,Humboldt,August,2020,8.4%,14830,23065,2840638
1134,Imperial,August,2020,22.9%,18706,39980,4555371
1135,Inyo,August,2020,7.4%,1137,2042,248702
1136,Kern,August,2020,13.1%,78286,166130,19808283
1137,Kings,August,2020,10.7%,11891,24803,2801828
1138,Lake,August,2020,8.8%,7768,12884,1480039
1139,Lassen,August,2020,6.7%,1847,3272,387476
1140,Los Angeles,August,2020,16.6%,814259,1386045,174216176
1141,Madera,August,2020,10.0%,12838,28976,3440960
1142,Marin,August,2020,7.0%,8706,13352,1782751
1143,Mariposa,August,2020,8.5%,1458,2392,277910
1144,Mendocino,August,2020,8.8%,7388,12671,1566446
1145,Merced,August,2020,11.3%,25223,53197,6293181
1146,Modoc,August,2020,6.8%,775,1404,151620
1147,Mono,August,2020,11.6%,580,917,115340
1148,Monterey,August,2020,9.4%,20744,42366,5126717
1149,Napa,August,2020,8.3%,4055,7064,802419
1150,Nevada,August,2020,8.0%,5409,8437,1027982
1151,Orange,August,2020,9.9%,136155,239471,29107648
1152,Placer,August,2020,7.7%,9475,15101,1807698
1153,Plumas,August,2020,8.2%,1347,2285,265225
1154,Riverside,August,2020,11.2%,133183,262616,32046308
1155,Sacramento,August,2020,10.3%,121167,223552,27397795
