,County,Year,Month,Cases,Deaths
581,Santa Barbara,2020,May,39381,335
582,Santa Barbara,2020,November,318510,3966
583,Santa Barbara,2020,October,296724,3685
584,Santa Barbara,2020,September,261827,3178
585,Santa Barbara,2021,April,739872,9774
586,Santa Barbara,2021,February,859732,10298
587,Santa Barbara,2021,January,728736,7007
588,Santa Barbara,2021,March,1012542,13345
589,Santa Clara,2020,April,50477,2099
590,Santa Clara,2020,August,434973,6686
591,Santa Clara,2020,December,1597907,17747
592,Santa Clara,2020,February,60,0
593,Santa Clara,2020,January,1,0
594,Santa Clara,2020,July,221050,5409
595,Santa Clara,2020,June,100730,4540
596,Santa Clara,2020,March,7305,257
597,Santa Clara,2020,May,75932,4130
598,Santa Clara,2020,November,868721,13447
599,Santa Clara,2020,October,716267,11499
600,Santa Clara,2020,September,590954,8565
601,Santa Clara,2021,April,2555260,43795
602,Santa Clara,2021,February,2998151,45993
603,Santa Clara,2021,January,2764799,32632
604,Santa Clara,2021,March,3498442,58100
605,Santa Cruz,2020,April,2827,46
606,Santa Cruz,2020,August,44997,189
607,Santa Cruz,2020,December,200463,1877
608,Santa Cruz,2020,July,21858,102
609,Santa Cruz,2020,June,8251,89
610,Santa Cruz,2020,March,383,3
611,Santa Cruz,2020,May,5090,79
612,Santa Cruz,2020,November,107313,801
613,Santa Cruz,2020,October,82804,650
614,Santa Cruz,2020,September,63774,237
615,Santa Cruz,2021,April,339800,4463
616,Santa Cruz,2021,February,398051,4684
617,Santa Cruz,2021,January,358486,3569
618,Santa Cruz,2021,March,467056,6044
619,Shasta,2020,April,724,91
620,Shasta,2020,August,15019,321
621,Shasta,2020,December,210454,1933
622,Shasta,2020,July,7181,202
623,Shasta,2020,June,1978,134
624,Shasta,2020,March,50,7
625,Shasta,2020,May,1046,124
626,Shasta,2020,November,101550,1146
627,Shasta,2020,October,49106,832
628,Shasta,2020,September,20386,414
629,Shasta,2021,April,254176,4684
630,Shasta,2021,February,301297,4665
631,Shasta,2021,January,291086,3469
632,Shasta,2021,March,346553,5897
633,Sierra,2020,August,137,0
634,Sierra,2020,December,645,0
635,Sierra,2020,July,31,0
636,Sierra,2020,June,30,0
637,Sierra,2020,May,10,0
638,Sierra,2020,November,322,0
639,Sierra,2020,October,186,0
640,Sierra,2020,September,180,0
641,Sierra,2021,April,1116,0
642,Sierra,2021,February,1268,0
643,Sierra,2021,January,1115,0
644,Sierra,2021,March,1518,0
645,Siskiyou,2020,April,136,0
646,Siskiyou,2020,August,3379,0
647,Siskiyou,2020,December,29822,228
648,Siskiyou,2020,July,1448,0
649,Siskiyou,2020,June,539,0
650,Siskiyou,2020,March,31,0
651,Siskiyou,2020,May,173,0
652,Siskiyou,2020,November,12846,30
653,Siskiyou,2020,October,5825,0
654,Siskiyou,2020,September,4679,0
655,Siskiyou,2021,April,42161,413
656,Siskiyou,2021,February,46654,369
657,Siskiyou,2021,January,43012,383
658,Siskiyou,2021,March,56830,447
659,Solano,2020,April,4646,73
660,Solano,2020,August,143634,1306
661,Solano,2020,December,450218,2826
662,Solano,2020,February,46,0
663,Solano,2020,July,76654,959
664,Solano,2020,June,23325,688
665,Solano,2020,March,641,0
666,Solano,2020,May,12751,435
667,Solano,2020,November,269042,2377
668,Solano,2020,October,217306,2290
669,Solano,2020,September,179715,1624
670,Solano,2021,April,696442,5245
671,Solano,2021,February,820978,4114
672,Solano,2021,January,754680,3337
673,Solano,2021,March,950026,5716
674,Sonoma,2020,April,4982,51
675,Sonoma,2020,August,135795,1824
676,Sonoma,2020,December,486353,5274
677,Sonoma,2020,February,4,0
678,Sonoma,2020,July,62168,589
679,Sonoma,2020,June,24333,134
680,Sonoma,2020,March,580,12
681,Sonoma,2020,May,12071,122
682,Sonoma,2020,November,329509,4503
683,Sonoma,2020,October,270231,4014
684,Sonoma,2020,September,204267,3256
685,Sonoma,2021,April,649623,6844
686,Sonoma,2021,February,762763,7990
687,Sonoma,2021,January,713291,7167
688,Sonoma,2021,March,892300,9504
689,Stanislaus,2020,April,5515,105
690,Stanislaus,2020,August,370292,6065
691,Stanislaus,2020,December,949321,15638
692,Stanislaus,2020,July,179644,2050
693,Stanislaus,2020,June,41427,1043
694,Stanislaus,2020,March,250,0
695,Stanislaus,2020,May,17307,708
696,Stanislaus,2020,November,619585,12387
697,Stanislaus,2020,October,545572,12019
