County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
San Diego,May,May-19,2019,2.8%,"129,472","246,741","17,485","8,171","31,742,496"
San Francisco,May,May-19,2019,1.9%,"30,064","44,896","10,330","5,511","6,271,784"
San Joaquin,May,May-19,2019,5.1%,"42,247","90,386","3,897","1,594","11,637,582"
San Luis Obispo,May,May-19,2019,2.4%,"8,837","14,916",923,370,"1,977,461"
San Mateo,May,May-19,2019,1.7%,"10,845","19,896","1,630",892,"2,533,445"
Santa Barbara,May,May-19,2019,2.9%,"20,639","38,347","2,022","1,078","5,246,048"
Santa Clara,May,May-19,2019,2.1%,"38,091","70,096","6,884","2,891","9,163,928"
Santa Cruz,May,May-19,2019,3.9%,"14,003","23,497","1,163",515,"3,212,001"
Shasta,May,May-19,2019,4.1%,"11,479","21,163","1,746",500,"2,687,779"
Sierra,May,May-19,2019,4.7%,125,215,14,3,"26,539"
Siskiyou,May,May-19,2019,5.4%,"3,147","6,292",506,237,"804,062"
Solano,May,May-19,2019,3.3%,"18,948","34,423","2,181",993,"4,721,609"
Sonoma,May,May-19,2019,2.3%,"14,923","24,955","1,514",773,"3,268,319"
Stanislaus,May,May-19,2019,5.6%,"33,754","69,441","4,170",975,"8,997,442"
Sutter,May,May-19,2019,6.7%,"4,835","10,933",512,219,"1,397,525"
Tehama,May,May-19,2019,5.0%,"4,204","8,728",740,229,"1,082,948"
Trinity,May,May-19,2019,4.6%,903,"1,523",160,51,"210,950"
Tulare,May,May-19,2019,8.1%,"47,808","108,494","3,294",342,"14,382,209"
Tuolumne,May,May-19,2019,3.9%,"2,622","4,339",338,100,"553,084"
Ventura,May,May-19,2019,3.0%,"31,355","59,971","3,501","1,055","7,865,514"
Yolo,May,May-19,2019,3.4%,"10,138","17,237","1,384",571,"2,412,819"
Yuba,May,May-19,2019,5.5%,"6,028","12,677",700,145,"1,646,364"
Statewide,June,Jun-19,2019,4.1%,"1,992,473","3,822,747","276,085","137,551","498,860,821"
Alameda,June,Jun-19,2019,3.1%,"58,481","98,504","10,955","5,613","13,510,571"
Alpine,June,Jun-19,2019,7.4%,78,125,10,1,"16,467"
Amador,June,Jun-19,2019,3.8%,"1,432","2,508",205,59,"311,467"
Butte,June,Jun-19,2019,5.2%,"16,161","27,945","2,406","1,280","3,654,179"
Calaveras,June,Jun-19,2019,3.8%,"2,713","4,659",286,82,"604,270"
Colusa,June,Jun-19,2019,10.5%,636,"1,342",119,46,"156,940"
Contra Costa,June,Jun-19,2019,3.2%,"29,656","56,098","4,863","2,676","7,592,775"
Del Norte,June,Jun-19,2019,5.4%,"2,716","4,973",369,84,"617,649"
El Dorado,June,Jun-19,2019,3.7%,"6,435","10,661",858,318,"1,391,498"
Fresno,June,Jun-19,2019,7.1%,"90,032","203,328","10,070","4,906","25,709,187"
Glenn,June,Jun-19,2019,6.4%,"1,556","3,197",247,85,"384,907"
Humboldt,June,Jun-19,2019,3.7%,"13,340","20,960","1,825",586,"2,746,962"
Imperial,June,Jun-19,2019,18.6%,"16,918","38,221","2,222",693,"4,639,189"
Inyo,June,Jun-19,2019,3.6%,939,"1,735",91,6,"225,813"
Kern,June,Jun-19,2019,8.0%,"67,688","149,227","8,719","3,200","19,115,512"
Kings,June,Jun-19,2019,7.9%,"10,762","23,011","1,241",346,"2,827,547"
Lake,June,Jun-19,2019,4.8%,"6,977","11,796",822,258,"1,467,111"
Lassen,June,Jun-19,2019,4.6%,"1,561","2,928",226,16,"379,747"
Los Angeles,June,Jun-19,2019,4.6%,"594,565","1,083,275","88,581","54,080","145,031,296"
Madera,June,Jun-19,2019,7.0%,"10,759","25,379","1,076",268,"3,217,618"
Marin,June,Jun-19,2019,2.4%,"6,170","9,623",890,461,"1,287,303"
Mariposa,June,Jun-19,2019,3.9%,"1,128","1,991",111,20,"248,640"
Mendocino,June,Jun-19,2019,3.8%,"6,188","11,007",899,250,"1,474,054"
Merced,June,Jun-19,2019,8.1%,"23,528","50,884","2,537",733,"6,446,123"
Modoc,June,Jun-19,2019,6.1%,673,"1,310",90,19,"157,243"
Mono,June,Jun-19,2019,3.6%,322,569,45,10,"74,214"
Monterey,June,Jun-19,2019,4.8%,"17,595","37,316","2,161",960,"4,701,707"
Napa,June,Jun-19,2019,2.8%,"2,809","5,262",529,212,"634,601"
